book_id,title,language,num_pages,publish_date,avg_rating,num_ratings,num_reviews,price,stock,price_band,publish_decade
284,A Treasury of Kahlil Gibran,English,456.0,1976-01-01,4.42,1990,78,521.4,25,Premium (500-700),1970.0
285,Love Letters,English,178.0,1999-07-01,3.74,434,32,466.4,10,Mid (300-500),1990.0
286,The Prophet,English,128.0,1995-02-21,4.22,245384,10134,480.6,100,Mid (300-500),1990.0
288,Kahlil Gibran: His Life and World,English,464.0,1998-04-01,4.2,40,4,513.4,10,Premium (500-700),1990.0
289,The Beloved: Reflections on the Path of the Heart,English,102.0,1998-01-01,4.19,399,27,476.8,10,Mid (300-500),1990.0
290,Jesus the Son of Man,English,216.0,1995-02-21,3.99,2309,208,480.2,25,Mid (300-500),1990.0
291,The Broken Wings,English,132.0,2003-03-03,3.93,17607,2154,469.4,50,Mid (300-500),2000.0
292,Sand and Foam,English,100.0,2011-06-14,4.06,5993,658,471.4,25,Mid (300-500),2010.0
293,The Wisdom Of Kahlil Gibran,English,,,4.22,166,5,567.8,10,Premium (500-700),
295,Treasure Island,English,311.0,2001-09-15,3.83,415434,12219,483.3,100,Mid (300-500),2000.0
296,Treasure Island,English,213.0,2004-10-01,3.83,415439,12219,473.5,100,Mid (300-500),2000.0
297,Treasure Island,English,245.0,2005-06-01,3.83,415439,12219,476.7,100,Mid (300-500),2000.0
298,Treasure Island,English,64.0,2003-07-01,3.83,415439,12219,458.6,100,Mid (300-500),2000.0
299,Treasure Island,English,272.0,2002-09-03,3.83,415439,12219,479.4,100,Mid (300-500),2000.0
300,Treasure Island,English,,2005-05-25,3.83,415439,12219,552.2,100,Premium (500-700),2000.0
301,Treasure Island,English,,2005-03-01,3.83,415439,12219,552.2,100,Premium (500-700),2000.0
302,Treasure Island (Great Illustrated Classics,English,232.0,2006-01-31,4.06,3648,106,484.6,25,Mid (300-500),2000.0
303,Cliffs Notes on Stevenson's Treasure Island and Kidnapped,English,80.0,1974-07-24,4.6,5,0,491.0,10,Mid (300-500),1970.0
304,Daniel Deronda,English,796.0,2002-01-01,3.85,23577,1021,532.6,50,Premium (500-700),2000.0
305,George Eliot and Judaism: An Attempt to Appreciate 'Daniel Deronda',English,100.0,2005-05-01,4.33,3,0,482.2,10,Mid (300-500),2000.0
306,Daniel Deronda Notebooks,English,524.0,1996-12-28,3.76,21,0,501.8,10,Premium (500-700),1990.0
307,Daniel Deronda: A Conversation,English,48.0,2004-06-17,4.67,6,0,490.6,10,Mid (300-500),2000.0
309,"Daniel Deronda, V1",English,384.0,2003-07-21,4.31,39,8,509.8,10,Premium (500-700),2000.0
310,Jazz: The First 100 Years (with Audio CD,English,438.0,2005-03-02,4.21,24,0,511.2,10,Premium (500-700),2000.0
311,Essential Jazz: The First 100 Years (with CD-ROM,English,336.0,2004-07-05,4.29,21,1,504.2,10,Premium (500-700),2000.0
312,Flight: 100 Years of Aviation,English,440.0,2002-09-16,4.33,200,14,516.2,10,Premium (500-700),2000.0
313,100 Years of Lynchings,English,270.0,1996-11-22,4.58,130,8,509.2,10,Premium (500-700),1990.0
314,If You Lived 100 Years Ago,English,80.0,1999-09-01,3.91,138,22,463.4,10,Mid (300-500),1990.0
315,Camp Cooking: 100 Years The National Museum of Forest Service History,English,192.0,2004-12-23,4.42,45,1,495.0,10,Mid (300-500),2000.0
317,El Siglo del Espiritu Santo,Spanish,559.0,2006-07-01,3.79,66,3,506.5,10,Premium (500-700),2000.0
318,The Next 100 Years: Predictions to the Nations and the Church of the 21st Century,English,133.0,2004-01-01,4.0,11,2,472.3,10,Mid (300-500),2000.0
319,Disney,English,224.0,2003-02-01,4.01,96,5,481.8,10,Mid (300-500),2000.0
320,One Hundred Years of Solitude,English,417.0,2003-06-24,4.25,782006,4,504.3,96,Premium (500-700),2000.0
321,Cliffs Notes on Garcia Marquez' 100 Hundred Years of Solitude,English,72.0,1984-02-01,4.1,58,8,470.2,10,Mid (300-500),1980.0
322,Cien años de soledad,Spanish,494.0,2003-06-01,4.5,782100,2,512.0,97,Premium (500-700),2000.0
323,Masterwork Studies Series: 100 Years of Solitude,English,176.0,1991-05-01,4.05,205,13,478.6,10,Mid (300-500),1990.0
324,Cien años de soledad,Spanish,448.0,1990-01-01,4.0,782100,1,507.4,97,Premium (500-700),1990.0
325,Cien años de soledad,Spanish,456.0,2000-11-01,4.09,782100,32215,508.2,95,Premium (500-700),2000.0
326,One Hundred Years of Solitude,English,422.0,1998-03-21,4.0,782100,1,504.8,95,Premium (500-700),1990.0
327,Why Zebras Don't Get Ulcers,English,560.0,2004-09-15,4.18,9509,830,522.2,25,Premium (500-700),2000.0
328,Chess for Zebras,English,255.0,2003-12-01,4.35,92,8,498.5,10,Mid (300-500),2000.0
329,What If the Zebras Lost Their Stripes?,English,32.0,1998-09-01,4.16,80,14,468.6,10,Mid (300-500),1990.0
330,On Beyond Zebra!,English,64.0,1955-09-12,4.04,3137,206,467.0,25,Mid (300-500),1950.0
331,Ziggy the Zebra,English,14.0,2000-02-01,4.07,14,0,463.2,10,Mid (300-500),2000.0
332,The Wedding Clause,English,256.0,2005-06-07,3.59,192,27,468.2,10,Mid (300-500),2000.0
333,The Zebra Wall,English,147.0,2005-02-15,3.46,237,30,452.1,10,Mid (300-500),2000.0
334,"\""A\"" Is for Zebra",English,32.0,2006-04-28,3.74,62,27,451.8,10,Mid (300-500),2000.0
335,Lots and Lots of Zebra Stripes,English,32.0,2002-03-01,3.83,40,8,455.4,10,Mid (300-500),2000.0
336,Why Zebras Don't Get Ulcers,English,367.0,1995-03-01,4.18,9511,830,502.9,25,Premium (500-700),1990.0
337,El perfume. Historia de un asesino,Spanish,239.0,2002-06-01,4.02,351593,15257,483.7,100,Mid (300-500),2000.0
338,Jitterbug Perfume,English,352.0,2003-05-01,4.21,71407,3671,502.6,50,Premium (500-700),2000.0
339,"Perfumes, Splashes  Colognes: Discovering and Crafting Your Personal Fragrances",English,176.0,1997-01-11,3.61,66,2,461.0,10,Mid (300-500),1990.0
340,Wonderful World of Collecting Perfume Bottles: Identification & Value Guide,English,176.0,2006-04-01,4.09,11,0,480.2,10,Mid (300-500),2000.0
341,Perfume Dreams: Reflections on the Vietnamese Diaspora,English,143.0,2005-10-21,4.03,234,33,474.5,10,Mid (300-500),2000.0
342,Essence and Alchemy: A Book of Perfume,English,272.0,2001-06-01,4.1,634,48,490.2,10,Mid (300-500),2000.0
343,Perfume: The Story of a Murderer,English,263.0,1987-01-01,4.02,351555,15254,486.1,100,Mid (300-500),1980.0
344,Scents & Sensibilities: Creating Solid Perfumes for Well-Being,English,96.0,2005-06-07,3.87,77,1,463.4,10,Mid (300-500),2000.0
345,Perfume: The Art And Science of Scent,English,,,3.9,63,7,555.0,10,Premium (500-700),
346,The Perfume Guide,English,144.0,2000-08-26,4.06,17,2,475.8,10,Mid (300-500),2000.0
347,Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein,English,738.0,2005-10-01,4.02,269,23,533.6,10,Premium (500-700),2000.0
348,The Door Into Summer,English,304.0,1997-06-17,4.02,23515,1155,490.2,50,Mid (300-500),1990.0
349,The Moon is a Harsh Mistress,English,382.0,1997-07-01,4.15,119275,3948,503.2,100,Premium (500-700),1990.0
350,Stranger in a Strange Land,English,525.0,1991-10-01,3.92,281237,8262,508.3,100,Premium (500-700),1990.0
351,Starman Jones,English,272.0,2005-04-19,3.85,7681,311,480.2,25,Mid (300-500),2000.0
352,The Notebooks of Lazarus Long,English,56.0,2004-08-03,4.07,3614,41,467.4,25,Mid (300-500),2000.0
353,Time Enough for Love,English,589.0,1988-08-15,3.97,33202,861,516.7,50,Premium (500-700),1980.0
354,To Sail Beyond the Sunset,English,434.0,1988-06-01,3.87,10722,223,497.2,50,Mid (300-500),1980.0
355,Job: A Comedy of Justice,English,439.0,1985-10-12,3.78,16930,517,494.1,50,Mid (300-500),1980.0
356,Time for the Stars,English,256.0,2006-08-08,3.97,8300,351,483.4,25,Mid (300-500),2000.0
357,The Long Dark Tea-Time of the Soul,English,307.0,1991-02-15,4.03,82491,1938,490.9,50,Mid (300-500),1990.0
358,Dirk Gently's Holistic Detective Agency,English,247.0,1987-05-15,3.97,126949,3585,482.5,100,Mid (300-500),1980.0
359,The Salmon of Doubt,English,298.0,2005-04-26,3.93,26685,1017,486.0,50,Mid (300-500),2000.0
360,Mostly Harmless,English,240.0,2000-02-01,3.96,114896,2671,481.4,100,Mid (300-500),2000.0
361,"Life, the Universe and Everything",English,232.0,2005-01-01,4.19,201708,3650,489.8,100,Mid (300-500),2000.0
362,Wish You Were Here: The Official Biography of Douglas Adams,English,368.0,2005-12-27,4.14,2828,68,501.4,25,Premium (500-700),2000.0
363,The Long Dark Tea-Time of the Soul,English,,2006-01-01,4.03,82497,1940,560.2,50,Premium (500-700),2000.0
364,The Long Dark Tea-Time of the Soul,English,,1993-06-01,4.03,82497,1940,560.2,50,Premium (500-700),1990.0
365,Dirk Gently's Holistic Detective Agency,English,306.0,2002-01-01,3.97,126944,3585,488.4,100,Mid (300-500),2000.0
366,Velvet: A Novel of Suspense,English,221.0,1993-06-01,2.57,7,3,423.9,10,Mid (300-500),1990.0
367,Douglas Adams's Starship Titanic,English,256.0,1998-10-27,3.61,11550,390,469.0,50,Mid (300-500),1990.0
369,Douglas Adams Starship Titanic: The Official Strategy Guide,English,176.0,1998-06-09,3.69,61,6,464.2,10,Mid (300-500),1990.0
371,The Salmon of Doubt,English,299.0,2003-08-01,3.93,26689,1017,486.1,50,Mid (300-500),2000.0
372,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,English,7.0,2006-01-01,3.93,26689,1017,456.9,50,Mid (300-500),2000.0
373,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,English,,2004-04-01,3.93,26689,1017,556.2,50,Premium (500-700),2000.0
374,Salmon Doubts,English,128.0,2004-07-20,3.25,157,31,441.8,10,Mid (300-500),2000.0
375,Salmon of Doubt,English,,2003-01-01,3.93,26689,1017,556.2,50,Premium (500-700),2000.0
376,The Salmon Of Doubt,English,,,3.93,26689,1017,556.2,50,Premium (500-700),
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,English,336.0,2003-07-01,3.93,26689,1017,489.8,50,Mid (300-500),2000.0
378,The Phantom Tollbooth,English,256.0,1996-01-01,4.17,258140,10673,491.4,100,Mid (300-500),1990.0
379,A Guide for Using the Phantom Tollbooth in the Classroom,English,48.0,1994-03-01,4.25,16,0,473.8,10,Mid (300-500),1990.0
